Category,Sub-Category,Micro-Category,Name,URL,Phone,Message,Email,Location,Social,Description,Other
Government,Military,Software Factory,Bespin AF,https://teambespin.us/,,https://docs.google.com/forms/d/e/1FAIpQLSeXD1vaDKf3EW_T3mvmb_JOOh4iSPo-F1b0d0-pWKvW1usKLw/viewform,,,https://www.linkedin.com/company/bespin/,"BESPIN is an Air Force software factory delivering rapid solutions that take care of Airmen, so they can take care of the mission.",https://software.af.mil/softwarefactory/bespin/
Government,Military,Software Factory,Blue Sky AF,https://www.youtube.com/watch?v=LSw_b65znVM,,,af.cso@us.af.mil,"520 Martin Luther King Jr Blvd, Macon, GA 31201",,https://www.13wmaz.com/article/news/national/military-news/robins-air-force-base-opens-new-software-lab-in-downtown-macon/93-37d0427f-60fa-4a68-96a7-485ff7c12fbd,
Government,Military,Software Factory,Conjure AF,https://software.af.mil/softwarefactory/conjure/,"618-256-3711 \ 
618-256-2599",,375CSPTS.SCWD.SoftwareDevelopment@us.af.mil,"1060 Air Force Pentagon Washington, DC  20330-1060",https://www.linkedin.com/company/conjure-usaf/about/,"Air Mobility Command’s premier agile software factory, delivering user-centered software supporting Mobility Air Force warfighters to provide rapid global mobility to the Department of Defense.",
Government,Military,Software Factory,Corsair Ranch AF,https://corsairranch.dso.mil/,,https://corsairranch.dso.mil/contact,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",https://software.af.mil/softwarefactory/corsair/,"Corsair Ranch, the ANG AFRC Test Center Software Division (AATC/DXW), exists to deliver Air Reserve Component (ARC) Capability Faster in line with the AATC mission. Corsair Ranch works across multiple weapon systems and directly with flight test stakeholders to engage users, continuously and incrementally deliver software capability, and field capability in support of combat, domestic, and acquisition outcomes. Corsair Ranch leverages Citizen Airman talent, Platform One, and relationships with like-minded teams – including Kessel Run, EDDGE, and TRON – to scale Total Force digital transformation.",
Government,Military,Software Factory,Hangar 18,https://www.hangar18.io/,,https://www.hangar18.io/contact/,hangar18@afresearchlab.com,"33 S 5th Ave, Tucson, AZ 85701",https://www.facebook.com/Hangar18SoftwareFactory,,https://www.linkedin.com/company/hangar18usaf/
Government,Military,Software Factory,Kessel Run,https://kesselrun.af.mil/,,,info@kr.af.mil,"11 Barksdale St, Hanscom AFB, MA 01731, Bldg 1614",https://www.linkedin.com/company/kesselrun/,"Kessel Run is a Division within Air Force Life Cycle Management Center’s Digital Directorate, and is the System Program Office for several Programs of Record. We are an Agile Delivery Organization. We sustain the existing Air Operations Center baseline while simultaneously building a scalable software factory to architect, manufacture and operate intuitively designed Wing and Operational level Command and Control systems to function effectively in highly contested environments.",https://www.youtube.com/channel/UCqrPQYmIxbk3Wo_w594pEEA
Government,Military,Software Factory,Kobayashi Maru,https://software.af.mil/softwarefactory/kobayashi-maru/,,,af.cso@us.af.mil,"El Segundo, CA",https://www.linkedin.com/company/kobayashi-maru/,"Kobayashi Maru is the organization that is tasked with modernizing Space Domain Awareness (SDA) and Space C2 warfighter capabilities for the Combined Space Operations Center (CSpOC), 18th Space Control Squadron (SPCS), and National Space Defense Center (NSDC).",https://kesselrun.af.mil/news/kr-kobayashi-collaboration.html
Government,Military,Software Factory,LevelUp AF,https://www.aflevelup.info/,,https://www.aflevelup.info/faq,af.level.up@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",https://www.facebook.com/AFLEVELUP,LevelUP is the cyber software factory for the Air Force. It also provides DevSecOps/Software Factory managed services with baked-in security to Air Force and Department of Defense programs. The team will provide the ability to deploy a DevSecOps Platform (CNCF-compliant Kubernetes stack) and Continuous Integration/Continuous Delivery (CI/CD) pipeline with a Continuous Authority to Operate (c-ATO).,https://software.af.mil/softwarefactory/platform-one-by-levelup/
Government,Military,Software Factory,N2X Pathfinder AF,https://www.airandspaceforces.com/newest-air-force-software-factory-aims-to-help-afrl-attritable-aircraft-programs/,,,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",,,
Government,Military,Software Factory,Red 5 AF,https://www.airandspaceforces.com/newest-air-force-software-factory-aims-to-help-afrl-attritable-aircraft-programs/,,,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",,,
Government,Military,Software Factory,Rogue Blue,https://software.af.mil/softwarefactory/rogue-blue/,,,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",,"Rogue Blue Software provides an expert software development, integration, and deployment platform across all enclave classifications up to the highest levels principally for Nuclear Command and Control (NC2), the Nation’s critical nuclear enterprise. Current customers include US Strategic Command (USSTRATCOM), US European Command (USEUCOM), the Joint Staff (JS), and the White House Military Office (WHMO). Our forte is our DevSecOps pipelines and ability to continuously integrate software up to the highest classification levels.",https://www.airforce-technology.com/news/lockheed-rogue-blue-software-factory/
Government,Military,Software Factory,Scorpion Camp AF,https://software.af.mil/softwarefactory/scorpion-camp/,,,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",,"Providing Air Force Mission Defense Teams with tailored software capabilities in order to detect, defend, and deter cyber threats across high-value weapons systems.",https://www.552acw.acc.af.mil/News/Article-Display/Article/2965636/scorpion-camp-evolves-a-four-decade-process-with-new-innovative-application/
Government,Military,Software Factory,Ski CAMP AF,https://software.af.mil/softwarefactory/skicamp/,801-898-5936,,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",https://www.linkedin.com/company/air-force-skicamp/,,
Government,Military,Software Factory,SoniKube AF,https://www.globenewswire.com/en/news-release/2020/10/27/2115545/0/en/Air-Force-Software-Team-Tests-Kubernetes-to-Bring-DevSecOps-to-Flight-Test-Community.html,,,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",,,
Government,Military,Software Factory,Space CAMP AF,https://spacecamp.il2.dso.mil/#/home,,,info@spacecamp.dso.mil,"33 S 5th Ave, Tucson, AZ 85701",https://www.linkedin.com/company/air-force-spacecamp/,"Located in Colorado Springs, CO, Space CAMP is a software factory focused on the continuous development and deployment of USSF mission applications to the warfighter. As a software node of Platform One (the DoD Executive agent for DevSecOps) for Continuous Integration/Continuous Deployment (CI/CD), we aim to avoid vendor-lock by building an open platform (Kubernetes/Istio), embrace DevSecOps principles outlined by the DoD CIO and AF CSO, consider microservice/service mesh architectures early and often, leverage event-driven behavior across the entire portfolio, and build a network of like-minded software shops for collaboration.",
Government,Military,Software Factory,Thunder CAMP AF,https://www.airandspaceforces.com/newest-air-force-software-factory-aims-to-help-afrl-attritable-aircraft-programs/,,,af.cso@us.af.mil,"33 S 5th Ave, Tucson, AZ 85701",,,
